dbid,name,link,langs,catalog_type,access_mode,content_types,countries,owner_type,software,export_standard,add_date,update_date,catalog_export,description,owner_name,owner_link,search_index,storage_volume,dataset_count,api,api_link
13017967140,LWBIN Data HUB,130.179.67.140,EN,Open data portal,Open,Dataset,Canada,Government,CKAN,CKAN API,,,,,,,,,,checked,http://130.179.67.140/api/3
acikveribizizmircom,acikveri.bizizmir.com,acikveri.bizizmir.com,TR,Open data portal,Open,Dataset,Turkey,Government,CKAN,CKAN API,20.3.2023,20.3.2023 11:23,,,,,,,,checked,
adrunaidsorg,AIDS Data Repository,adr.unaids.org,EN,Open data portal,Open,Dataset,World,International,CKAN,CKAN API,,,,,,,,,,checked,https://adr.unaids.org/api/3
africaopendataorg,openAFRICA,africaopendata.org,EN,Open data portal,Open,Dataset,Africa,,CKAN,CKAN API,,,,,,,,,,checked,https://africaopendata.org/api/3
agridatatn,AgriDATA,agridata.tn,FR,Open data portal,Open,Dataset,Tunis,Government,CKAN,CKAN API,,,,,,,,,,checked,http://agridata.tn/api/3
andmedstatee,Statistics Estonia Database,andmed.stat.ee,EN,Indicators catalog,Open,Indicator,Estonia,Government,PxWeb,,26.3.2023,26.3.2023 00:00,,,,,,,,,
annuariocomunefiit,,annuario.comune.fi.it,EN,Open data portal,Open,Dataset,Italy,,CKAN,CKAN API,,,,,,,,,,checked,http://annuario.comune.fi.it/ckan/api/3
apgcawide,Arctic Permafrost Geospatial Centre,apgc.awi.de,EN,Open data portal,Open,Dataset,Germany,,CKAN,CKAN API,,,,,,,,,,checked,https://apgc.awi.de/api/3
apifoodsecurityportalorg,CKAN,api.foodsecurityportal.org,EN,Open data portal,Open,Dataset,,,CKAN,CKAN API,,,,,,,,,,checked,https://api.foodsecurityportal.org/api/3
appswhoint,WHO Multi-Country Studies Data Archive,https://apps.who.int/healthinfo/systems/surveydata/index.php/catalog,EN,Microdata catalog,Open,Dataset,World,International,NADA,,24.3.2023,24.3.2023 00:00,,,,,,,,,
archaeologydatastationsnl,DANS Data Station Archaeology,archaeology.datastations.nl,EN,Scientific data repository,Open,Dataset,Netherlands,Academy,Dataverse,Dataverse API,26.3.2023,26.3.2023 00:00,,,,,,,,,
archivebetaicsuciedu,UCL Machine learning repository,archive-beta.ics.uci.edu,EN,Machine learning catalog,Open,Dataset,World,Academy,Custom software,,23.3.2023,23.3.2023 00:00,,,,,,,,,
archivecisercornelledu,CISER Data & Reproduction Archive,archive.ciser.cornell.edu,EN,Scientific data repository,"Open,Limited",Dataset,United States,Academy,Custom software,,25.3.2023,25.3.2023 00:00,,,,,,,,,
arcticatlasgeobotanyorg,Alaska Arctic Geoecological Atlas,arcticatlas.geobotany.org,EN,Open data portal,Open,Dataset,,,CKAN,CKAN API,,,,,,,,,,checked,https://arcticatlas.geobotany.org/catalog/api/3
avaandmedeestiee,Estonian open data,avaandmed.eesti.ee,EN,Open data portal,Open,Dataset,Estonia,Government,Custom software,,26.3.2023,26.3.2023 00:00,,,,,,,,,
avoindatafi,Avoindata.fi,avoindata.fi,FI,Open data portal,Open,Dataset,Finland,Government,CKAN,CKAN API,,,,,,,,,,checked,https://avoindata.fi/data/api/3
b2findeudateu,B2FIND,b2find.eudat.eu,EN,Open data portal,Open,Dataset,European Union,Government,CKAN,CKAN API,,,,,,,,,,checked,http://b2find.eudat.eu/api/3
ballaratopendataorgau,Ballarat Open Data,ballaratopendata.org.au,EN,Open data portal,Open,Dataset,Australia,Community,CKAN,CKAN API,,,,,,,,,,checked,https://ballaratopendata.org.au/api/3
basedosdadosorg,Base dos Dados,basedosdados.org,PT,Open data portal,Open,Dataset,Brazil,Business,CKAN,CKAN API,,,,,,,,,,checked,http://basedosdados.org/api/3
berncocivicdashboardscom,Bernalillo County Open Data Sandbox,bernco.civicdashboards.com,EN,Open data portal,Open,Dataset,United States,,CKAN,CKAN API,,,,,,,,,,checked,https://bernco.civicdashboards.com/api/3
betaukdataserviceacuk,UK Data service studies,beta.ukdataservice.ac.uk,EN,Scientific data repository,Open,Dataset,United Kingdom,Academy,Custom software,,23.3.2023,23.3.2023 00:00,,,,,,,,,
betaukdataserviceacuk,,beta.ukdataservice.ac.uk,EN,Open data portal,Open,Dataset,United Kingdom,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://beta.ukdataservice.ac.uk/datacatalogue/studies/#!?Search=&Page=1&Rows=10&Sort=0&DateFrom=440&DateTo=2020/ckan/api/3
bluecloudd4scienceorg,Blue-Cloud Catalogue,blue-cloud.d4science.org,EN,Scientific data repository,Open,Dataset,European Union,Academy,D4Science,,26.3.2023,26.3.2023 00:00,,,,,,,,,
bmckancpamigovtw,CIPEI,bmckan.cpami.gov.tw,zh_TW,Open data portal,Open,Dataset,Taiwan,Government,CKAN,CKAN API,,,,,,,,,,checked,http://bmckan.cpami.gov.tw/api/3
camstatnisgovkh,National Indicator Reporting Platform,camstat.nis.gov.kh,EN,Indicators catalog,Open,Indicator,Cambodia,Government,.Stat Suite,,26.3.2023,26.3.2023 00:00,,,,,,,,,
canwindatahubadumanitobaca,Canadian Watershed Information Network,canwin-datahub.ad.umanitoba.ca,EN,Open data portal,Open,Dataset,Canada,Government,CKAN,CKAN API,,,,,,,,,,checked,https://canwin-datahub.ad.umanitoba.ca/data/api/3
catalog.data.gov,catalog.data.gov,catalog.data.gov,EN,Open data portal,Open,Dataset,United States,Government,CKAN,CKAN API,20.3.2023,20.3.2023 11:23,,,,,,,,checked,
catalogdatagov,Catalog,catalog.data.gov,EN,Open data portal,Open,Dataset,United States,Government,CKAN,CKAN API,,,,,,,,,,checked,https://catalog.data.gov/api/3
catalogihsnorg,IHSN Survey Catalog,catalog.ihsn.org,EN,Microdata catalog,"Open,Limited",Microdata,World,Academy,NADA,,22.3.2023,22.3.2023 00:00,,,,,,,,,
catalogindustriegovtn,Industrie Open Data,catalog.industrie.gov.tn,FR,Open data portal,Open,Dataset,Tunis,Government,CKAN,CKAN API,,,,,,,,,,checked,http://catalog.industrie.gov.tn/api/3
catalogintarosnerscno,INTAROS Data Catalogue,catalog-intaros.nersc.no,EN,Open data portal,Open,Dataset,Norway,Academy,CKAN,CKAN API,,,,,,,,,,checked,https://catalog-intaros.nersc.no/api/3
catalogodatosabiertosgobec,Datos Abiertos Ecuador,catalogo.datosabiertos.gob.ec,ES,Open data portal,Open,Dataset,Ecuador,Government,CKAN,CKAN API,,,,,,,,,,checked,http://catalogo.datosabiertos.gob.ec/api/3
catalogodatosgubuy, Catálogo de Datos Abiertos de la República Oriental del Uruguay,catalogodatos.gub.uy,ES,Open data portal,Open,Dataset,Uruguay,Government,CKAN,CKAN API,18.3.2023,18.3.2023 12:52,,"El Catálogo Nacional de Datos Abiertos permite acceder a datos abiertos de organismos públicos, academia, organizaciones de sociedad civil y empresas privadas. Cualquier persona puede utilizar los datos publicados libremente para contar historias, desarrollar investigaciones, visualizaciones, aplicaciones cívicas y emprendimientos.",,,,,,checked,https://catalogodatos.gub.uy/api
catalogogovernoabertospgovbr,Governo Aberto SP,catalogo.governoaberto.sp.gov.br,PT,Open data portal,Open,Dataset,Brazil,Government,CKAN,CKAN API,,,,,,,,,,checked,http://catalogo.governoaberto.sp.gov.br/api/3
