id	name	type	category	storage_type	has_api	has_bulk	datasets	organizations	topics	resources	fields	persistent_dataset_url	has_doi	supports_licenses	licensing_type	custom_api	ckan_api	dcat	ogcrecords	oai-pmh	datacite	swordapi	sdmx	wfs	wms	wcs	csw	stac	opensearch	schema-org	oai-ore	openaire
ckan	CKAN	Software	Open data portal	Both	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Plugin only	Yes	Per dataset	Yes	Yes	Plugin only	No	Plugin only	No	No	No	No	No	No	No	No	Uncertain	Plugin only	No	No
udata	uData	Software	Open data portal	Raw	Yes	No	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Per dataset	Yes	No	Yes	No	No	No	No	No	No	No	No	No	No	Uncertain	Uncertain	No	No
socrata	Socrata	Software	Open data portal	Both	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Per dataset	Yes	No	Yes	No	No	No	No	No	No	No	No	No	No	Uncertain	Uncertain	No	No
opendatasoft	OpenDataSoft	Software	Open data portal	Both	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Per dataset	Yes	No	Yes	No	No	No	No	No	No	No	No	No	No	Uncertain	Uncertain	No	No
junar	Junar	Software	Open data portal	Both	Uncertain	No	Yes	Uncertain	Uncertain	Yes	Uncertain	Yes	No	Yes	Per dataset	Yes	No	No	No	No	No	No	No	No	No	No	No	No	Uncertain	Uncertain	No	No
dkan	DKAN	Software	Open data portal	Raw	Yes	No	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Per dataset	Yes	Limited	Yes	No	No	No	No	No	No	No	No	No	No	Uncertain	Uncertain	No	No
jkan	JKAN	Software	Open data portal	Raw	No	No	Yes	Yes	Yes	Yes	No	Yes	No	Yes	Per dataset	No	No	No	No	No	No	No	No	No	No	No	No	No	Uncertain	Uncertain	No	No
inveniordm	InvenioRDM	Software	Scientific data repository	Raw	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Per dataset	Yes	No	Yes	No	Yes	Yes	No	No	No	No	No	No	No	Uncertain	Uncertain	No	No
dataverse	Dataverse	Software	Scientific data repository	Raw	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Per dataset	Yes	No	No	No	Yes	No	Yes	No	No	No	No	No	No	Uncertain	Yes	Yes	Yes
dspace	DSpace	Software	Scientific data repository	Raw	Yes	No	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Per dataset	Yes	No	No	No	Yes	No	No	No	No	No	No	No	No	Uncertain	Uncertain	No	No
mycore	MyCore	Software	Scientific data repository	Raw	Uncertain	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Per dataset	Yes	No	No	No	Yes	No	No	No	No	No	No	No	No	Uncertain	Uncertain	No	No
librecat	LibreCat	Software	Scientific data repository	Raw	Uncertain	No	Compatible	Yes	Yes	Yes	No	Yes	Yes	Yes	Per dataset	Uncertain	No	No	No	No	No	No	No	No	No	No	No	No	Uncertain	Uncertain	No	No
eprints	Eprints	Software	Scientific data repository	Raw	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Per dataset	Yes	No	No	No	Yes	Yes	No	No	No	No	No	No	No	Yes	Uncertain	No	Yes
geonetwork	Geonetwork	Software	Geoportal	Both	Yes	No	Compatible	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Per dataset	Yes	No	Yes	Plugin only	No	No	No	No	Yes	Yes	Yes	Yes	No	Uncertain	Uncertain	No	No
geoserver	GeoServer	Software	Geoportal	Structured	Yes	No	Compatible	No	No	Generated	Yes	Yes	No	Unclear	Global	Yes	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	No	Uncertain	No	No	No
geonode	GeoNode	Software	Geoportal	Structured	Yes	No	Compatible	No	No	Yes	Yes	Yes	No	Yes	Global	Yes	No	Yes	No	Yes	No	No	No	Yes	Yes	Yes	Yes	No	Yes	No	No	No
