domain	ltd	url	inverted	keyword
southafrica.figshare.co	co	http://southafrica.figshare.co	co.figshare.southafrica	figshare
2020cigtectonics.figshare.com	com	http://2020cigtectonics.figshare.com	com.figshare.2020cigtectonics	figshare
2020cigworkshop.figshare.com	com	http://2020cigworkshop.figshare.com	com.figshare.2020cigworkshop	figshare
acs.figshare.com	com	http://acs.figshare.com	com.figshare.acs	figshare
adalovelaceday.figshare.com	com	http://adalovelaceday.figshare.com	com.figshare.adalovelaceday	figshare
adelaide.figshare.com	com	http://adelaide.figshare.com	com.figshare.adelaide	figshare
adisjournals.figshare.com	com	http://adisjournals.figshare.com	com.figshare.adisjournals	figshare
africarxiv.figshare.com	com	http://africarxiv.figshare.com	com.figshare.africarxiv	figshare
altmetric.figshare.com	com	http://altmetric.figshare.com	com.figshare.altmetric	figshare
api.figshare.com	com	http://api.figshare.com	com.figshare.api	figshare
arizona.figshare.com	com	http://arizona.figshare.com	com.figshare.arizona	figshare
aru.figshare.com	com	http://aru.figshare.com	com.figshare.aru	figshare
asabe.figshare.com	com	http://asabe.figshare.com	com.figshare.asabe	figshare
asha.figshare.com	com	http://asha.figshare.com	com.figshare.asha	figshare
auckland.figshare.com	com	http://auckland.figshare.com	com.figshare.auckland	figshare
aup.figshare.com	com	http://aup.figshare.com	com.figshare.aup	figshare
bathspa.figshare.com	com	http://bathspa.figshare.com	com.figshare.bathspa	figshare
bmd2019.figshare.com	com	http://bmd2019.figshare.com	com.figshare.bmd2019	figshare
brepols.figshare.com	com	http://brepols.figshare.com	com.figshare.brepols	figshare
coopanabb.com.brgeolsoc.figshare.com	com	http://coopanabb.com.brgeolsoc.figshare.com	com.figshare.brgeolsoc.com.coopanabb	figshare
guiadasprofissoes.com.brgeolsoc.figshare.com	com	http://guiadasprofissoes.com.brgeolsoc.figshare.com	com.figshare.brgeolsoc.com.guiadasprofissoes	figshare
brill.figshare.com	com	http://brill.figshare.com	com.figshare.brill	figshare
brunel.figshare.com	com	http://brunel.figshare.com	com.figshare.brunel	figshare
cardiffmet.figshare.com	com	http://cardiffmet.figshare.com	com.figshare.cardiffmet	figshare
caryinstitute.figshare.com	com	http://caryinstitute.figshare.com	com.figshare.caryinstitute	figshare
cbbiomet.figshare.com	com	http://cbbiomet.figshare.com	com.figshare.cbbiomet	figshare
cbmrt.figshare.com	com	http://cbmrt.figshare.com	com.figshare.cbmrt	figshare
ccwi2017.figshare.com	com	http://ccwi2017.figshare.com	com.figshare.ccwi2017	figshare
cellimagelibrary.figshare.com	com	http://cellimagelibrary.figshare.com	com.figshare.cellimagelibrary	figshare
city.figshare.com	com	http://city.figshare.com	com.figshare.city	figshare
1splash.comgeolsoc.figshare.com	com	http://1splash.comgeolsoc.figshare.com	com.figshare.comgeolsoc.1splash	figshare
aunty-jasminehostel.comgeolsoc.figshare.com	com	http://aunty-jasminehostel.comgeolsoc.figshare.com	com.figshare.comgeolsoc.aunty-jasminehostel	figshare
pietza.comgeolsoc.figshare.com	com	http://pietza.comgeolsoc.figshare.com	com.figshare.comgeolsoc.pietza	figshare
onlineresearchconferences.comrs.figshare.com	com	http://onlineresearchconferences.comrs.figshare.com	com.figshare.comrs.onlineresearchconferences	figshare
pain-suffering.comrs.figshare.com	com	http://pain-suffering.comrs.figshare.com	com.figshare.comrs.pain-suffering	figshare
quantify.comrs.figshare.com	com	http://quantify.comrs.figshare.com	com.figshare.comrs.quantify	figshare
spiritualitywellness.comrs.figshare.com	com	http://spiritualitywellness.comrs.figshare.com	com.figshare.comrs.spiritualitywellness	figshare
thegeorgetownindependent.comrs.figshare.com	com	http://thegeorgetownindependent.comrs.figshare.com	com.figshare.comrs.thegeorgetownindependent	figshare
covid19.figshare.com	com	http://covid19.figshare.com	com.figshare.covid19	figshare
cput.figshare.com	com	http://cput.figshare.com	com.figshare.cput	figshare
cqu.figshare.com	com	http://cqu.figshare.com	com.figshare.cqu	figshare
cranfield.figshare.com	com	http://cranfield.figshare.com	com.figshare.cranfield	figshare
crick.figshare.com	com	http://crick.figshare.com	com.figshare.crick	figshare
ctsnet.figshare.com	com	http://ctsnet.figshare.com	com.figshare.ctsnet	figshare
diabetesjournals.figshare.com	com	http://diabetesjournals.figshare.com	com.figshare.diabetesjournals	figshare
digitalscience.figshare.com	com	http://digitalscience.figshare.com	com.figshare.digitalscience	figshare
