id	link	name	owner_name	catalog_type	owner_type	software	langs	content_types	access_mode	countries	tags	status	api	owner_link	catalog_export	api_status
uaestatfcscgovae	https://uaestat.fcsc.gov.ae	UAEStat	Federal Competitiveness And Statistics Centre	Indicators catalog	Central government	.Stat Suite	EN	indicator	open	United Arab Emirates	statistics,government	active				uncertain
databayanatae	https://data.bayanat.ae	UAE Open Data Portal	Government of UAE	Open data portal	Central government	CKAN	EN	dataset	open	United Arab Emirates	government,has_api	active	True			active
digital-earth-africa	https://explorer.digitalearth.africa/stac/	Digital Earth Africa	Geoscience Australia	Geoportal	Central government	Stac-server	EN	dataset,map_layer	public	Africa	geospatial,has_api	active	True			uncertain
aphrcorg	https://aphrc.org/microdataportal	APHRC Online Microdata Library	African Population & Health Research Center	Microdata catalog	Civil society	NADA	EN	microdata	open,limited	Africa	government,has_api,microdata	active	True	https://aphrc.org		uncertain
microdatacatalogafdborg	https://microdata-catalog.afdb.org	African Microdata Library	African Development bank	Microdata catalog	International	NADA	FR	microdata	open,limited	Africa	government,has_api,microdata	active	True	https://www.afdb.org		uncertain
phmecvuemoaint	https://phmecv.uemoa.int/nada/index.php	UEMOA Online Microdata Library	Union Economique et Monétaire Ouest Africaine	Microdata catalog	International	NADA	FR	microdata	open,limited	Africa	has_api,microdata	active	True	https://aphrc.org		uncertain
ckanafricadatahuborg	https://ckan.africadatahub.org	ADH Data Portal	Open Cities Labs	Open data portal	Community	CKAN	EN	dataset	open	Africa	has_api	active	True			active
openafricanet	https://openafrica.net	Africa's Largest Volunteer Driven Open Data Platform	Code for Africa	Open data portal	Civil society	CKAN	EN	dataset	open	Africa	has_api	active	True			active
geoportalasiggoval	https://geoportal.asig.gov.al/geonetwork	ASIG Geoportal metadata catalogue	State Authority for Geospatial Information (ASIG) Albania	Geoportal	Central government	Geonetwork	SQ	dataset,map_layer	open	Albania	geospatial,government,has_api	active	True	https://www.asig.gov.al		uncertain
databazainstatgoval	http://databaza.instat.gov.al	INSTAT Statistical database	Institute of Statistics Albania	Indicators catalog	Central government	PxWeb	EN	indicator	open	Albania	statistics,government	active				active
ckantiranaal	https://ckan.tirana.al	Open Data Tirana	The Municipality of Tirana	Open data portal	Local government	CKAN	SQ	dataset	open	Albania	government,has_api	active	True			active
opendatagoval	https://opendata.gov.al	Open Data Alabania	Albania government	Open data portal	Central government	Custom software	SQ	dataset	open	Albania	government	active				uncertain
armsiscasam	https://armsis.cas.am	The Armenian Soil Information System (ArmSIS)	Armenian National Agrarian University	Geoportal	Academy	GeoNode	EN	dataset,map_layer	open	Armenia	geospatial	active		https://www.cas.am		uncertain
ogcensam	http://og.cens.am:8081/geoserver	Center for Ecological-Noosphere Studies National Academy of Sciences geoserver	Center for Ecological-Noosphere Studies National Academy of Sciences, RA	Geoportal	Academy	GeoServer	EN	dataset,map_layer	public	Armenia	geospatial,government	active		https://cens.am		uncertain
vgsegeologyam	https://vgse.geology.am	Institute of Geological sciences (Armenia) geoportal	Institute of Geological sciences (Armenia)	Geoportal	Academy	GeoNode	EN	dataset,map_layer	open	Armenia	geospatial	active		https://www.geology.am		uncertain
sdgarmstatam	https://sdg.armstat.am	Armenian SDG data portal	ArmStat	Indicators catalog	Central government	OpenSDG	EN	indicator	open	Armenia	statistics,government	active				uncertain
statbankarmstatam	https://statbank.armstat.am	ArmStat Statbank	ArmStat	Indicators catalog	Central government	PxWeb	EN	indicator	open	Armenia	statistics,government	active				uncertain
microdataarmstatam	https://microdata.armstat.am	ArmStat Microdata Library	ArmStat	Microdata catalog	Central government	NADA	EN	microdata	open,limited	Armenia	government,has_api,microdata	active	True			active
datadownloadgfwhubarcgiscom	https://data-download-gfw.hub.arcgis.com	Global Forest Watch Open data portal of Armenia	The Regional Environmental Centre for the Caucasus (REC Caucasus)	Geoportal	Civil society	ArcGIS Hub	EN	dataset,map_layer	open	Armenia	geospatial,has_api	active	True	http://rec-caucasus.am		active
andineinegovao	https://andine.ine.gov.ao/nada/index.php	National Data Archive Angola Microdata catalog	National Institute of Statistics (Angola)	Microdata catalog	Central government	NADA	EN	dataset	open,limited	Angola	government,has_api,microdata	active	True			active
