endpoints.type	count
drupal:jsonapi	1
oskari:getmaplayers	1
magda:datasets	2
magda:organizations	2
docs	2
esrigeo:geoportal	2
esrigeo:metadata:search	2
esrigeo:json	2
esrigeo:csv	2
esrigeo:kml	2
dspace	2
dspace:objects	2
dkan:search	3
dkan:metastore	3
dkan:datastore	3
mycore:objects	3
aleph:collections	3
metagis:layers	3
customapi	5
udataapi	6
dspace:items	9
koordinates:data-catalog	10
pxwebapi	11
oskari:gethiermaplayers	12
inveniordmapi	13
inveniordmapi:records	13
atom	14
opendatasoft	16
api	18
nada:csvexport	26
geonetworkapi:query	31
geonetworkapi	31
geonode:datasets	32
arcgisrest	45
arcgis:portals:self	54
nada:catalog-search	58
socrata:views	60
stacserverapi	64
ckanapi	89
arcgis:geositemap	95
arcgis:sitemap	97
arcgis:kmz	97
wms-c	98
arcgis:soap	98
arcgis:rest:info	99
arcgis:rest:services	102
geonetwork:records	103
dataverseapi	103
tms	105
opendatasoftapi	130
geonode:layers	154
wps	159
geonode:documents	191
wmts	216
openapi	218
geonetwork:query	240
dcatap201	262
ogcrecordsapi	271
ckan	318
rss	367
opensearch	460
wms	462
dcatus11	492
csw	527
oaipmh	561
ckan:package-search	573
wfs	637
ckan:package-list	646
wcs	954
