software.id	count
librecat	1
d4science	1
weko3	1
djehuty	1
bicontour	1
orbismap	1
ibmcognos	1
smw	1
datainsight	1
tablion	1
esploro	1
converis	1
weco3	1
microdata	1
ewmapa	1
dlibra	1
hyrax	1
magda	2
datapress	2
wordpress	2
mytardis	2
datalad	2
vufind	2
mapbender	2
pycsw	2
publishmydata	2
islandora	2
erddap	2
searchengine	2
geoportalrlp	3
bitrix	3
entryscape	3
pure	3
nextgisweb	3
ipt	3
carto	3
erdasapollo	4
aleph	4
drupal	4
metagis	4
dataone	4
thredds	4
hubzero	4
opendatacube	5
junar	5
colectica	5
udata	5
jkan	5
esrigeo	5
fusionregistry	5
samvera	6
triplydb	6
worktribe	7
elsevierdigitalcommons	8
omegapsir	8
opengeoportal	9
galaxy	11
invenio	12
koordinates	12
nesstar	12
statsuite	13
inveniordm	13
pygeoapi	13
mycore	14
geoblacklight	14
oskari	16
obibamica	21
eprints	23
opensdg	30
othergeo	31
pxweb	35
mapproxy	35
stacserver	59
nada	73
figshare	74
elsevierpure	92
dspace	97
dataverse	103
dkan	121
socrata	173
geonode	268
opendatasoft	332
geoserver	469
geonetwork	479
arcgisserver	514
ckan	700
custom	815
arcgishub	1837
