id,count
arcgishub,1887
arcgisserver,1673
custom,1111
geoserver,1110
ckan,1101
geonetwork,568
opendatasoft,373
geonode,297
socrata,188
dkan,139
figshare,132
dataverse,114
thredds,110
nada,107
dspace,106
elsevierpure,97
pxweb,78
stacserver,59
erddap,59
weko3,47
lizmap,36
terria,35
mapproxy,35
wis20box,35
opensdg,29
eprints,27
othergeo,25
drupal,24
mapbender,23
esploro,22
obibamica,21
esrigeo,19
geoblacklight,18
hyrax,17
statsuite,16
inveniordm,16
oskari,14
mycore,14
pygeoapi,13
elsevierdigitalcommons,13
sdmxri,13
koordinates,12
junar,12
galaxy,11
nesstar,11
