name,c
US,2209
,584
FR,481
GB,436
CA,386
DE,370
"",348
ES,274
ID,271
AU,248
IT,240
NL,196
BR,182
AR,165
JP,150
RU,140
TH,132
NZ,115
FI,108
BE,106
CN,105
SE,91
EU,86
PL,81
CO,78
PT,77
CH,73
GR,71
NO,71
KR,70
MX,69
IE,63
CZ,62
DK,53
VN,52
IN,50
PE,49
AT,49
Not specified,47
EC,47
CL,47
SK,44
LT,41
EE,41
ZA,40
TR,36
KZ,36
TW,36
MY,34
UY,34
HR,31
RO,30
CR,29
BO,28
IS,27
IL,25
SI,25
LV,24
AE,23
PH,19
BG,18
RS,18
KE,17
PS,16
SA,16
LU,15
TN,15
HK,15
HU,15
GH,15
MN,15
GT,14
UA,14
Not available,14
NG,14
UN,13
N/A,13
Unknown,13
NP,12
LB,12
CY,11
JO,11
RW,11
DO,11
SG,11
BD,11
QA,11
PA,11
MK,11
MA,10
AL,10
NC,10
AM,10
GE,9
EG,9
MD,9
MZ,9
PY,9
LK,9
ET,9
INT,9
KG,9
BA,9
UG,8
SV,8
HN,8
LA,8
Not provided,8
PK,7
FO,7
UZ,7
MG,7
BY,7
MT,7
DZ,6
AZ,6
Not explicitly stated,6
IR,5
BW,5
KH,5
XX,5
MM,5
Not specified in source,5
TT,5
CV,5
n/a,5
ZM,5
SN,5
PR,5
WS,5
BZ,5
ME,5
GL,5
TZ,5
FJ,4
MW,4
NI,4
CI,4
VE,4
BF,4
SO,4
INTL,4
KW,4
ML,3
CM,3
AX,3
Not specified in URL,3
TJ,3
NA,3
MU,3
AS,3
UNKNOWN,3
JM,3
PG,3
MO,3
VU,2
MV,2
-,2
ZZ,2
GY,2
MQ,2
BH,2
NE,2
BI,2
CD,2
AG,2
RE,2
BB,2
BJ,2
TC,2
AO,2
Unavailable,2
OM,2
No data available,2
ZW,2
CU,2
TO,2
MR,2
BN,2
LR,2
not specified,2
AD,2
YE,2
TG,2
HT,2
LI,2
Not explicitly provided,2
Not provided in URL,1
Not available from the website homepage or direct inspection,1
"nu (if it is for Niue, or country code to be specified)",1
unclear from URL,1
--not specified--,1
International,1
Not specified in context,1
--,1
"ES (defaulting to Spain, based on the URL, but not explicitly stated in your query or source)",1
Not available in page content,1
Not available.,1
Not specified in provided URL content or search results,1
MH,1
"Multi-national (Angola, Namibia, South Africa)",1
EU (see ISO 3166-1 alpha-2 for EU-level entities; or consider specific country only if owner is not international),1
UNDEFINED,1
TV,1
N/A (International),1
Not specified in provided text,1
"NA (international, multi-country)",1
Not explicitly stated in provided content,1
LC,1
Not specified in provided text or at the URL,1
international (if not specified in catalog),1
REGIONAL,1
GB-WLS,1
not_crawled,1
Not available from search results,1
Not explicitly stated in URL,1
au,1
my,1
unknown,1
GLOBAL,1
(Not explicitly specified in the provided URL or description),1
World,1
<not specified>,1
Not stated,1
"Required for the schema as a field, not yet defined from the URL",1
"IT/ES (plausible, based on ATM/regional context)",1
"US (assumed, adjust as official source available)",1
"AT,CZ,HU,SK",1
Not specified in provided content,1
Not specified in the given context.,1
multi,1
 ,1
IQ,1
Not extracted (no explicit country found in provided URL/page),1
Not specified in accessible metadata,1
Not available at root level,1
"ES (assuming Spain, but not explicitly stated)",1
"CI, BJ, BF, CV, GH, GN, GM, GW, LR, ML, NE, NG, SN, SL, TG",1
CK,1
AQ,1
Unspecified,1
None,1
undefined,1
SC,1
Not provided in extracted data,1
GM,1
"AU,EU",1
Global,1
"Not applicable, source not country-specific",1
BT,1
LS,1
[iso2_code_here],1
US-NV,1
"FK,SH,AC",1
Not directly specified,1
"US (inferred from context, typical use in US redistricting; if specific country needed, confirm and update)",1
No ISO2 code available from source.,1
UK,1
GI,1
Not provided in source text. Please verify from website.,1
NU,1
BS,1
nl,1
Not specified in search result or metadata.,1
Not provided in source,1
(unspecified),1
US-HI,1
cn,1
mn,1
null,1
Not specified in provided information,1
INTERNATIONAL,1
Various (Mekong Region),1
FK,1
Not specified in provided data,1
"IT,HR,EL,SI",1
---,1
EU (Pan-European),1
not provided,1
[Not specified],1
Not provided (URL only),1
Not available from extract,1
fr,1
(not provided),1
Not explicitly specified in sources,1
PF,1
"BE,LU",1
CC,1
PW,1
NR,1
MP,1
N/A (global),1
Unknown (not specified in the input),1
Not provided in metadata,1
No country code available in the extraction.,1
DM,1
JE,1
SD,1
None (not specified),1
? (Not provided in raw text),1
(not specified in available information),1
US-FL,1
Not specified in provided URL,1
Not available from current source,1
br,1
No information,1
SR,1
Not specified in search results,1
Not found,1
(not available),1
TD,1
de,1
CG,1
Not available in data,1
XK,1
dk,1
"CA (placeholder, assuming Canada based on 'citymb')",1
Not provided in raw text,1
"CA,US",1
