name,length,fixed,c
US,2,US,2209
,,,584
FR,2,FR,481
GB,2,GB,436
CA,2,CA,386
DE,2,DE,370
,,,348
ES,2,ES,274
ID,2,ID,271
AU,2,AU,248
IT,2,IT,240
NL,2,NL,196
BR,2,BR,182
AR,2,AR,165
JP,2,JP,150
RU,2,RU,140
TH,2,TH,132
NZ,2,NZ,115
FI,2,FI,108
BE,2,BE,106
CN,2,CN,105
SE,2,SE,91
EU,2,EU,86
PL,2,PL,81
CO,2,CO,78
PT,2,PT,77
CH,2,CH,73
GR,2,GR,71
NO,2,NO,71
KR,2,KR,70
MX,2,MX,69
IE,2,IE,63
CZ,2,CZ,62
DK,2,DK,53
VN,2,VN,52
IN,2,IN,50
PE,2,PE,49
AT,2,AT,49
Not specified,13,Unknown,47
EC,2,EC,47
CL,2,CL,47
SK,2,SK,44
LT,2,LT,41
EE,2,EE,41
ZA,2,ZA,40
TR,2,TR,36
KZ,2,KZ,36
TW,2,TW,36
MY,2,MY,34
UY,2,UY,34
HR,2,HR,31
RO,2,RO,30
CR,2,CR,29
BO,2,BO,28
IS,2,IS,27
IL,2,IL,25
SI,2,SI,25
LV,2,LV,24
AE,2,AE,23
PH,2,PH,19
BG,2,BG,18
RS,2,RS,18
KE,2,KE,17
PS,2,PS,16
SA,2,SA,16
LU,2,LU,15
TN,2,TN,15
HK,2,HK,15
HU,2,HU,15
GH,2,GH,15
MN,2,MN,15
GT,2,GT,14
UA,2,UA,14
Not available,13,Unknown,14
NG,2,NG,14
UN,2,UN,13
N/A,3,Unknown,13
Unknown,7,Unknown,13
NP,2,NP,12
LB,2,LB,12
CY,2,CY,11
JO,2,JO,11
RW,2,RW,11
DO,2,DO,11
SG,2,SG,11
BD,2,BD,11
QA,2,QA,11
PA,2,PA,11
MK,2,MK,11
MA,2,MA,10
AL,2,AL,10
NC,2,NC,10
AM,2,AM,10
GE,2,GE,9
EG,2,EG,9
MD,2,MD,9
MZ,2,MZ,9
PY,2,PY,9
LK,2,LK,9
ET,2,ET,9
INT,3,Unknown,9
KG,2,KG,9
BA,2,BA,9
UG,2,UG,8
SV,2,SV,8
HN,2,HN,8
LA,2,LA,8
Not provided,12,Unknown,8
PK,2,PK,7
FO,2,FO,7
UZ,2,UZ,7
MG,2,MG,7
BY,2,BY,7
MT,2,MT,7
DZ,2,DZ,6
AZ,2,AZ,6
Not explicitly stated,21,Unknown,6
IR,2,IR,5
BW,2,BW,5
KH,2,KH,5
XX,2,XX,5
MM,2,MM,5
Not specified in source,23,Unknown,5
TT,2,TT,5
CV,2,CV,5
n/a,3,Unknown,5
ZM,2,ZM,5
SN,2,SN,5
PR,2,PR,5
WS,2,WS,5
BZ,2,BZ,5
ME,2,ME,5
GL,2,GL,5
TZ,2,TZ,5
FJ,2,FJ,4
MW,2,MW,4
NI,2,NI,4
CI,2,CI,4
VE,2,VE,4
BF,2,BF,4
SO,2,SO,4
INTL,4,Unknown,4
KW,2,KW,4
ML,2,ML,3
CM,2,CM,3
AX,2,AX,3
Not specified in URL,20,Unknown,3
TJ,2,TJ,3
NA,2,NA,3
MU,2,MU,3
AS,2,AS,3
UNKNOWN,7,Unknown,3
JM,2,JM,3
PG,2,PG,3
MO,2,MO,3
VU,2,VU,2
MV,2,MV,2
-,1,-,2
ZZ,2,ZZ,2
GY,2,GY,2
MQ,2,MQ,2
BH,2,BH,2
NE,2,NE,2
BI,2,BI,2
CD,2,CD,2
AG,2,AG,2
RE,2,RE,2
BB,2,BB,2
BJ,2,BJ,2
TC,2,TC,2
AO,2,AO,2
Unavailable,11,Unknown,2
OM,2,OM,2
No data available,17,Unknown,2
ZW,2,ZW,2
CU,2,CU,2
TO,2,TO,2
MR,2,MR,2
BN,2,BN,2
LR,2,LR,2
not specified,13,Unknown,2
AD,2,AD,2
YE,2,YE,2
TG,2,TG,2
HT,2,HT,2
LI,2,LI,2
Not explicitly provided,23,Unknown,2
Not provided in URL,19,Unknown,1
Not available from the website homepage or direct inspection,60,Unknown,1
"nu (if it is for Niue, or country code to be specified)",55,Unknown,1
unclear from URL,16,Unknown,1
--not specified--,17,Unknown,1
International,13,Unknown,1
Not specified in context,24,Unknown,1
--,2,Unknown,1
"ES (defaulting to Spain, based on the URL, but not explicitly stated in your query or source)",93,Unknown,1
Not available in page content,29,Unknown,1
Not available.,14,Unknown,1
Not specified in provided URL content or search results,55,Unknown,1
MH,2,MH,1
"Multi-national (Angola, Namibia, South Africa)",46,Unknown,1
EU (see ISO 3166-1 alpha-2 for EU-level entities; or consider specific country only if owner is not international),114,Unknown,1
UNDEFINED,9,Unknown,1
TV,2,TV,1
N/A (International),19,Unknown,1
Not specified in provided text,30,Unknown,1
"NA (international, multi-country)",33,Unknown,1
Not explicitly stated in provided content,41,Unknown,1
LC,2,LC,1
Not specified in provided text or at the URL,44,Unknown,1
international (if not specified in catalog),43,Unknown,1
REGIONAL,8,Unknown,1
GB-WLS,6,GB-WLS,1
not_crawled,11,Unknown,1
Not available from search results,33,Unknown,1
Not explicitly stated in URL,28,Unknown,1
au,2,AU,1
my,2,MY,1
unknown,7,Unknown,1
GLOBAL,6,GLOBAL,1
(Not explicitly specified in the provided URL or description),61,Unknown,1
World,5,World,1
<not specified>,15,Unknown,1
Not stated,10,Unknown,1
"Required for the schema as a field, not yet defined from the URL",64,Unknown,1
"IT/ES (plausible, based on ATM/regional context)",48,Unknown,1
"US (assumed, adjust as official source available)",49,Unknown,1
"AT,CZ,HU,SK",11,Unknown,1
Not specified in provided content,33,Unknown,1
Not specified in the given context.,35,Unknown,1
multi,5,Unknown,1
,1,,1
IQ,2,IQ,1
Not extracted (no explicit country found in provided URL/page),62,Unknown,1
Not specified in accessible metadata,36,Unknown,1
Not available at root level,27,Unknown,1
"ES (assuming Spain, but not explicitly stated)",46,Unknown,1
"CI, BJ, BF, CV, GH, GN, GM, GW, LR, ML, NE, NG, SN, SL, TG",58,Unknown,1
CK,2,CK,1
AQ,2,AQ,1
Unspecified,11,Unknown,1
None,4,Unknown,1
undefined,9,Unknown,1
SC,2,SC,1
Not provided in extracted data,30,Unknown,1
GM,2,GM,1
"AU,EU",5,AU,1
Global,6,Global,1
"Not applicable, source not country-specific",43,Unknown,1
BT,2,BT,1
LS,2,LS,1
[iso2_code_here],16,Unknown,1
US-NV,5,US,1
"FK,SH,AC",8,Unknown,1
Not directly specified,22,Unknown,1
"US (inferred from context, typical use in US redistricting; if specific country needed, confirm and update)",107,Unknown,1
No ISO2 code available from source.,35,Unknown,1
UK,2,UK,1
GI,2,GI,1
Not provided in source text. Please verify from website.,56,Unknown,1
NU,2,NU,1
BS,2,BS,1
nl,2,NL,1
Not specified in search result or metadata.,43,Unknown,1
Not provided in source,22,Unknown,1
(unspecified),13,Unknown,1
US-HI,5,US,1
cn,2,CN,1
mn,2,MN,1
null,4,Unknown,1
Not specified in provided information,37,Unknown,1
INTERNATIONAL,13,Unknown,1
Various (Mekong Region),23,Unknown,1
FK,2,FK,1
Not specified in provided data,30,Unknown,1
"IT,HR,EL,SI",11,Unknown,1
---,3,Unknown,1
EU (Pan-European),17,Unknown,1
not provided,12,Unknown,1
[Not specified],15,Unknown,1
Not provided (URL only),23,Unknown,1
Not available from extract,26,Unknown,1
fr,2,FR,1
(not provided),14,Unknown,1
Not explicitly specified in sources,35,Unknown,1
PF,2,PF,1
"BE,LU",5,BE,1
CC,2,CC,1
PW,2,PW,1
NR,2,NR,1
MP,2,MP,1
N/A (global),12,Unknown,1
Unknown (not specified in the input),36,Unknown,1
Not provided in metadata,24,Unknown,1
No country code available in the extraction.,44,Unknown,1
DM,2,DM,1
JE,2,JE,1
SD,2,SD,1
None (not specified),20,Unknown,1
? (Not provided in raw text),28,Unknown,1
(not specified in available information),40,Unknown,1
US-FL,5,US,1
Not specified in provided URL,29,Unknown,1
Not available from current source,33,Unknown,1
br,2,BR,1
No information,14,Unknown,1
SR,2,SR,1
Not specified in search results,31,Unknown,1
Not found,9,Unknown,1
(not available),15,Unknown,1
TD,2,TD,1
de,2,de,1
CG,2,CG,1
Not available in data,21,Unknown,1
XK,2,XK,1
dk,2,DK,1
"CA (placeholder, assuming Canada based on 'citymb')",51,Unknown,1
Not provided in raw text,24,Unknown,1
"CA,US",5,CA,1
