name	counter
Government and public sector	1270
Population and society	313
Economy and finance	157
Transport	708
Environment	2003
ECON	35
DETEC	1
SOCI	32
AGRI	17
ENVI	41
TRANS	2
ENER	14
ENVIRONMENT	328
GEOSCIENCE	10
Economy and Finance	9
Regions and Cities	7
Agriculture, Fisheries, Forestry and Food	8
International Issues	1
Media and communication	1
Geography	41
Economy	141
Health	309
Geographic information systems	24
Statistics	30
Statistical units	20
Science/Technology	2
TRAN	37
BORD	1
INSP	1
statistics	79
government and public sector	88
society	82
Industry, trade and services	1
Agriculture, forestry and fisheries	45
Transport and tourism	1
Food security	3
demography	6
agriculture	66
population	79
housing	11
health	183
Environmental monitoring facilities	56
Land use	274
Nature and biodiversity	1
Statistical data	26
Economy, finance and national accounts	1
Employment	11
Construction	2
Household expenditure	1
Well-being	1
Metadata	2
environment	919
economy	116
Government and public sector activities	1
Regions and cities	159
Education, culture and sport	215
Science and technology	354
Research and science	5
Communications	2
All (assumes general portal, no specific theme provided in source)	1
climate	10
natural_resources	3
ecology	2
Energy	171
transport	198
education, culture and sport	14
social	23
regional	5
government	252
Justice, legal system and public safety	51
Agriculture, forestry, fisheries	62
research	66
innovation	5
Research	115
Science	89
employment	7
tourism	17
trade	8
investment	2
Atmosphere	12
Meteorological geographical features	21
Location	127
Unspecified (extraction needed)	1
planning	40
Government and Public Sector	71
Climate	14
Housing	17
Industry and trade	1
International issues	9
Science, technology and digital society	1
Urban and land use	1
Science and technology, Research and experimental development	1
Culture, recreation, religion and media	1
Education	188
Society	219
Population and social conditions	1
Research and innovation	73
Research and Innovation	32
GOVERNMENT	61
TRADE	1
SOCIETY	38
geoscientific	2
environment and nature	1
economy industry and commerce	1
TRANSPORTATION	73
URBAN_AND_REGIONAL_DEVELOPMENT	4
Water management	4
geospatial	166
land use	43
transportation	113
Land	19
biota	2
oceans	33
Land cover	107
Meteorological and weather data	1
Geology	62
Mapping of water bodies	1
Agriculture and fisheries and forestry and food	1
Energy resources	18
geology	46
SCIENCE AND TECHNOLOGY	13
OCEANS	7
Not determined from raw text	1
TRANSPORT	150
TRAFFIC	2
education	126
Governance	2
Culture	21
Agriculture, forestry, fishing	26
Geographical	47
GOVERNMENT_PUBLIC_SECTOR	21
REGIONAL_AND_URBAN_DEVELOPMENT	1
HEALTH	32
POPULATION_AND_SOCIETY	11
Geographical names and administrative units	1
Buildings	61
Regional and local statistics	12
Planning and cadastre	20
Business and Industry	1
Geospatial	67
Industry and business	2
structure	15
REGIONS AND CITIES	43
ECONOMY AND FINANCE	7
ENERGY	29
Government	71
Transportation	236
Population	33
Demographics	7
Infrastructure	37
Education and training	8
energy	64
science	75
SCIENCE TECHNOLOGY RESEARCH	1
GOVE	41
JUST	7
EDUC	16
HEAL	15
REGI	10
TECH	12
OP_DAT	1
Geographical names	183
Agriculture, fisheries, forestry and food	68
geographic information systems	3
Science, Research & Innovation	1
Administrative and governmental	1
	42
Geospatial data, infrastructure and mapping	1
Agriculture	44
Industry	9
Demography	9
https://op.europa.eu/en/web/eu-vocabularies/at-dataset/-/resource/dataset/data-theme/Geo	1
regional development	2
ENV	55
gov	4
env	1
soci	3
tran	2
educ	2
regi	1
FINANCE	3
ECONOMY	33
Urban planning	9
Other	32
geodata	35
regional planning	1
Research data, domain-agnostic	1
Humanities	4
Social Sciences	3
Life Sciences	4
Natural Sciences	1
Engineering Sciences	1
General statistics	1
Population and demography	8
Labour market	8
geographical_names	26
Social Well-being	1
Sectoral Development	1
Utilities	20
Tourism	23
agriculture, forestry, fisheries	16
GEOSCIENCES	2
Geographic information systems, maps, earth observation	1
GEOSCIENTIFIC_INFORMATION	20
Trade, industry and services	1
Science & Technology	22
Education, culture & sport	1
GOVERNMENT AND PUBLIC SECTOR	91
http://publications.europa.eu/resource/authority/data-theme/ENVI	45
http://publications.europa.eu/resource/authority/data-theme/ENV	1
Economia e finanças	1
Empresas e propriedade	1
Regional and cities	2
institutions	1
administration and governance	2
Not available	7
Public finance	2
Education and culture	10
GOVERNMENT_AND_PUBLIC_SECTOR	68
All official themes (Portal covers multiple themes)	1
mobility	6
urban planning	6
procurement	1
education, research	1
finance	21
Science and Technology	56
justice	13
location	52
RESEARCH	5
TECHNOLOGY	6
Land Use::Land Cover	1
Agriculture, forestry, fisheries and food	11
Transport networks	145
Population — demography	1
Production and industrial facilities	29
Agricultural and aquaculture facilities	10
Addresses	54
Administrative units	134
Utility and governmental services	43
User defined themes	1
Oceanographic geographical features	15
Geographical Names	22
Administrative Units	11
Transport Networks	11
Land Cover	7
Elevation	78
GE.GR	1
EN.EN	1
TR.TR	1
BU.BU	1
PS.PS	1
ED.ED	1
MULTI_THEME	1
Geographical names, administrative units, transport networks, elevation, environmental monitoring facilities, hydrography, population distribution — demography, area management/restriction/regulation zones and reporting units, natural risk zones, atmosphere and meteorological geographical features, bio-geographical regions, habitats and biotopes, species distribution, energy resources	1
Geographical grid systems, land cover, mineral resources, orthoimagery, oceanographic geographical features, sea regions, soil, statistical units, utility and governmental services, cadastral parcels	1
INFRASTRUCTURE	8
COMMUNITY	1
ENVIRONMENTAL_MONITORING_FACILITIES	2
Orthoimagery	30
Science, research and technology	2
natural-resources	1
SOCIAL_ISSUES	1
Regional and local	2
GOVER	2
EDUCATION_CULTURE_AND_SPORT	6
LAND_AND_GEOSPATIAL	1
Temporarily not available, but typical themes include: Government, Transportation, Environment, Education, Economy, Health, Society; for precise values refer to the portal directly.	1
Planning	37
Economy, business, enterprise	1
business	7
family	1
culture	14
natural resources	2
public safety	3
town	1
Geographical names and geographical information system (GIS) data	1
Children and family services	1
http://publications.europa.eu/resource/authority/data-theme/GOVE	35
Land use and management	2
Public order, safety and security	2
Recreation, culture and religion	1
Environmental	9
Mapping/GIS	2
Boundaries	31
Geographical names, administrative units, addresses	3
Statistic	1
Research, Science and Technology	7
Oceans	25
Research, Science, Technology	1
Agriculture, forestry, fisheries, food and veterinary	1
Cadastral parcels	33
Hydrography	60
Protected sites	66
Population distribution — demography	16
Science, technology and ICT	1
Administrative and political boundaries	11
Research & Innovation	6
scientific research	1
Energies	1
Security	3
Youth	1
Sport	4
Not specified in input	1
GEOSPATIAL	45
AGRICULTURE, FORESTRY, FISHERIES	1
administrative_units	7
addresses	19
agricultural_and_aquaculture_facilities	2
elevation	42
environmental_monitoring_facilities	7
hydrography	21
population_distribution_and_demography	4
production_and_industrial_facilities	2
soil	11
transport_networks	15
utility_and_governmental_services	3
economics	9
population and society	37
industry	6
Employment and working conditions	3
Theme: Transport	1
Theme: Economy and finance	1
Theme: Environment	1
Theme: Energy	1
Social	15
Poverty	2
Microdata	1
Other (Not in EU DCAT-AP)	1
geographical names	46
land cover	24
meteorology	6
nature	7
Social and demographic statistics	1
Economic and financial statistics	4
Education and Training	5
Science, Technology and Business	1
Research & science	1
Public sector	3
Science, technology and innovation	24
TRANSPORTE	1
EDUCACION	1
SALUD	1
SEGURIDAD	1
ECONOMIA	1
GOBIERNO	1
SOCIAL	7
Geographic information	14
Base registries (if map/location data is considered base registry, otherwise use best match)	1
Geographical names (if available)	1
Geographical grid systems (if available)	1
Statistics (if any statistical datasets)	1
Government and public sector (general category for municipal data)	1
Social statistics	5
Prices	3
Census	1
Trade	8
EDUCATION	20
SCIENCEANDTECHNOLOGY	1
REGIONAL AND URBAN DEVELOPMENT	4
Urban environment, urban mobility	1
fishery	1
forestry	4
http://publications.europa.eu/resource/authority/data-theme/ENVI, http://publications.europa.eu/resource/authority/data-theme/TRAN, http://publications.europa.eu/resource/authority/data-theme/GOVE	1
Geographic	30
Scientific	1
Orto imagery	1
Soil	18
Production and Industrial facilities	1
Agriculture and Aquaculture	1
Population distribution – Demography	1
Area management / restriction / regulation zones & reporting units	1
Natural risk zones	17
Atmospheric conditions	12
Sea regions	5
Bio-geographical regions	9
Habitats and biotopes	9
Species distribution	9
Mineral resources	6
Human health and safety	15
geographical information systems	4
Government, law and public order	1
Geographical information systems	14
UNSPECIFIED	1
Population and Society	16
Governance and Public Sector	1
Education, Culture and Sport	19
Science, Technology and Innovation	8
Justice, Legal System and Public Safety	2
REGION_AND_CITIES	4
ECONOMY_AND_FINANCE	7
AGRICULTURE_FISHERIES_FORESTRY_AND_FOOD	1
SCIENCE_TECHNOLOGY	7
Governance, public sector	2
Agriculture, fisheries, forestry, and food	2
