name,fixed,counter
Economy,Economy,154
Society,Society,423
imageryBaseMapsEarthCover,Imagery / Base Maps / Earth Cover,974
location,Location,1913
transportation,Transportation,1416
economy,Economy,919
health,Health,721
society,Society,1645
farming,Farming,382
environment,Environment,2387
energy,,8
climatologyMeteorologyAtmosphere,Climatology / Meteorology / Atmosphere,511
geoscientificInformation,Geoscientific Information,1241
oceans,Oceans,559
planningCadastre,Planning / Cadastre,988
infrastructure,Structure,34
boundaries,Boundaries,2039
structure,Structure,795
transPortation,Transportation,1
"Boundaries, society, economy (ISO 19115:2003 general categories)",Boundaries,1
"Climatology, Meteorology, Atmosphere",Climatology / Meteorology / Atmosphere,11
GEOSCIENTIFICINFORMATION,Geoscientific Information,18
INLANDWATERS,Inland Waters,2
TRANSPORTATION,Transportation,27
ENVIRONMENT,Environment,40
000.000,,1
biota,Biota,507
Agriculture,Farming,13
Fisheries,,1
Structure,Structure,102
intellectualProperty,,5
scientificResearch,,3
education,Society,112
"All (assumes general portal, no specific geo-theme provided in source)",,1
inlandWaters,Inland Waters,867
utilitiesCommunication,Utilities / Communication,890
statistics,,10
Atmosphere / climatology,Climatology / Meteorology / Atmosphere,1
Environment,Environment,352
Geosciences,Geoscientific Information,1
Location,Location,216
Unspecified (extraction needed),,1
elevation,Elevation,702
Boundaries,Boundaries,224
Geoscientific information,Geoscientific Information,81
Health,Health,143
Inland waters,Inland Waters,44
Land use,,2
Planning and cadastre,Planning / Cadastre,5
Population,Society,14
Transportation,Transportation,229
PlanningCadastre,Planning / Cadastre,36
Climatology/Meteorology/Atmosphere,Climatology / Meteorology / Atmosphere,30
Geoscientific Information,Geoscientific Information,60
"Intelligence. Military. (Note: ISO19115 theme lacks a perfect fit; 'Society' is standard, but 'Intelligence' is sometimes used for knowledge/research catalogs)",Intelligence / Military,1
intelligenceMilitary,Intelligence / Military,270
biodiversity,,2
Oceans,Oceans,127
Not determined from raw text,,1
"transportation, roads",Transportation,1
GEOSCIENTIFIC INFORMATION,Geoscientific Information,10
research,,36
multi-disciplinary,,1
,,62
https://inspire.ec.europa.eu/theme/gn,,1
https://inspire.ec.europa.eu/theme/lc,,1
https://inspire.ec.europa.eu/theme/ps,,1
https://inspire.ec.europa.eu/theme/el,,1
https://inspire.ec.europa.eu/theme/so,,1
https://inspire.ec.europa.eu/theme/su,,1
https://inspire.ec.europa.eu/theme/tn,,1
https://inspire.ec.europa.eu/theme/gg,,1
https://inspire.ec.europa.eu/theme/us,,1
https://inspire.ec.europa.eu/theme/ef,,1
https://inspire.ec.europa.eu/theme/au,,1
Biota,Biota,45
"Recreation, Culture, and Religion",,1
Administrative boundaries,Boundaries,1
Transportation networks,Transportation,10
Environmental resources,Environment,1
"Health, health services, human ecology and safety",Health,1
"Society, economy, education and culture",Economy,1
Other,,14
science,,13
006 – Boundaries,Boundaries,1
016 – Economy,Economy,1
017 – Environment,Environment,1
018 – Health,Health,1
019 – Society,Society,1
Education,Society,45
Industry,,2
Commerce,,1
Labour,,1
Biodiversity,,2
Not available,,8
Government and public sector management,,1
Health services,Health,2
Environment and conservation management,Environment,1
Public finance,Economy,1
Government,,11
"boundaries, society, urban planning",Boundaries,1
