name,length,fixed,c
,,,2249
,,,1771
US-CA,5,US-CA,209
GB-ENG,6,GB-ENG,115
Not specified,13,,106
USA,3,,86
US-TX,5,US-TX,72
CA-ON,5,CA-ON,65
US-NC,5,US-NC,64
US-FL,5,US-FL,61
US-WA,5,US-WA,59
US-NY,5,US-NY,54
US-VA,5,US-VA,51
DE-NW,5,DE-NW,50
US-MD,5,US-MD,50
US-AZ,5,US-AZ,44
US,2,,44
FR-IDF,6,FR-IDF,43
US-CO,5,US-CO,43
CA-BC,5,CA-BC,42
US-OH,5,US-OH,42
US-DC,5,US-DC,42
US-IL,5,US-IL,40
AU-NSW,6,AU-NSW,39
US-MI,5,US-MI,39
null,4,,39
ON,2,,38
US-MA,5,US-MA,36
N/A,3,,35
US-PA,5,US-PA,35
US-MN,5,US-MN,34
GB-SCT,6,GB-SCT,34
US-GA,5,US-GA,31
US-OR,5,US-OR,30
Not available,13,,30
AU-VIC,6,AU-VIC,28
ENG,3,,27
DE-BW,5,DE-BW,27
US-NJ,5,US-NJ,27
US-AK,5,US-AK,27
US-WI,5,US-WI,26
FRA,3,,26
DE-NI,5,DE-NI,24
Not provided,12,,22
DEU,3,,21
US-MO,5,US-MO,21
Unknown,7,,21
US-ID,5,US-ID,21
BE-BRU,6,BE-BRU,20
US-IN,5,US-IN,20
VA,2,,19
ES-CT,5,ES-CT,19
US-HI,5,US-HI,18
NL,2,,18
ID-JB,5,ID-JB,18
JP-13,5,JP-13,18
GBR,3,,17
AR-B,4,AR-B,17
AU-QLD,6,AU-QLD,17
US-VT,5,US-VT,16
CA-AB,5,CA-AB,16
FR-OCC,6,FR-OCC,15
US-CT,5,US-CT,15
US-NV,5,US-NV,15
US-IA,5,US-IA,15
-,1,,15
SCT,3,GB-SCT,15
BE-VLG,6,BE-VLG,15
ID-JT,5,ID-JT,15
BC,2,,14
OC,2,,14
CA,2,,14
IT-45,5,IT-45,14
CT,2,,14
US-MT,5,US-MT,14
CA-QC,5,CA-QC,14
US-TN,5,US-TN,13
NC,2,,13
CO-DC,5,CO-DC,13
QC,2,,13
not specified,13,,13
PA,2,,13
US-AL,5,US-AL,12
US-RI,5,US-RI,12
AB,2,,12
ID-JI,5,ID-JI,12
AR-C,4,AR-C,12
CHE,3,,12
US-KS,5,US-KS,12
DE-BE,5,DE-BE,12
ZAF,3,,11
CO,2,,11
ITA,3,ITA,11
FR-PDL,6,FR-PDL,11
SP,2,,11
US-KY,5,US-KY,11
DE,2,,11
SE,2,,11
AUS,3,AUS,11
GB-WLS,6,GB-WLS,11
DE-SN,5,DE-SN,11
DE-BY,5,DE-BY,11
US-SC,5,US-SC,11
AU-ACT,6,AU-ACT,11
n/a,3,,10
US-OK,5,US-OK,10
DE-HE,5,DE-HE,10
SA,2,,10
CAT,3,ES-CT,10
AZ,2,,10
US-AR,5,US-AR,10
FI-18,5,FI-18,10
AFR,3,,10
EA,2,,10
NZ-CAN,6,NZ-CAN,10
IDF,3,,10
US-NE,5,US-NE,10
US-ND,5,US-ND,10
Not specified in source,23,,10
ES-AN,5,ES-AN,10
OR,2,,10
ES-PV,5,ES-PV,10
IT-52,5,IT-52,9
NO-03,5,NO-03,9
CA-NB,5,CA-NB,9
IT-34,5,IT-34,9
US-UT,5,US-UT,9
NW,2,,9
NZ-WGN,6,NZ-WGN,9
EU,2,,9
AU-TAS,6,AU-TAS,9
GB-NIR,6,GB-NIR,9
TX,2,,9
RS,2,,9
PSE,3,,9
EUR,3,,9
NLD,3,,9
NL-ZH,5,NL-ZH,9
THA,3,,9
US-NM,5,US-NM,9
BE-WAL,6,BE-WAL,8
ES-M,4,ES-M,8
ID-KB,5,ID-KB,8
MD,2,,8
PER,3,,8
AR-T,4,AR-T,8
US-MS,5,US-MS,8
DE-BB,5,DE-BB,8
FR,2,,8
AU-WA,5,AU-WA,8
GB-LND,6,GB-LND,8
IRL,3,,8
WA,2,,8
CA-NS,5,CA-NS,8
KOR,3,,8
VC,2,,8
ES-CN,5,ES-CN,8
TH-10,5,TH-10,8
US-ME,5,US-ME,8
SEA,3,,8
CN-ZJ,5,CN-ZJ,8
ROU,3,,8
ES-CL,5,ES-CL,7
NL-NH,5,NL-NH,7
BZ,2,,7
FR-64,5,FR-64,7
US-WV,5,US-WV,7
AR-Q,4,AR-Q,7
CAN,3,,7
TH,2,,7
BR-MG,5,BR-MG,7
KR-11,5,KR-11,7
SRB,3,,7
CL,2,,7
ID-SB,5,ID-SB,7
GHA,3,,7
BRU,3,BRU,7
NY,2,,7
ID-JK,5,ID-JK,7
NB,2,,7
CA-SK,5,CA-SK,7
PR,2,,7
FR-BRE,6,FR-BRE,7
AR-M,4,AR-M,7
US-LA,5,US-LA,7
ES-MD,5,ES-MD,7
FR-NAQ,6,FR-NAQ,7
BR-SP,5,BR-SP,6
TH-XX,5,TH-XX,6
FL,2,,6
DE-HH,5,DE-HH,6
CO-ANT,6,CO-ANT,6
VLG,3,,6
FR-PAC,6,FR-PAC,6
LTU,3,LTU,6
NL-GR,5,NL-GR,6
US-NH,5,US-NH,6
MG,2,,6
NL-NB,5,NL-NB,6
QLD,3,AU-QLD,6
LBN,3,,6
BRA,3,,6
NZ-WKO,6,NZ-WKO,6
GA,2,,6
unknown,7,,6
MEX,3,,6
JPN,3,,6
TH-00,5,TH-00,6
PRT,3,,6
Not explicitly stated,21,,6
ARG,3,,6
WAL,3,GB-WAL,6
IT-88,5,IT-88,6
AU-NT,5,AU-NT,6
ES-GA,5,ES-GA,6
BE,2,,6
LA,2,,6
NOR,3,,6
BR-DF,5,BR-DF,6
AL,2,,6
none,4,,6
AU,2,,5
VIC,3,AU-VIC,5
AU-SA,5,AU-SA,5
IT-82,5,IT-82,5
ID-KI,5,ID-KI,5
AR-X,4,AR-X,5
PT-20,5,PT-20,5
DK-84,5,DK-84,5
USA-CA,6,USA-CA,5
NZL,3,NZL,5
IDN,3,,5
NH,2,,5
EUU,3,EUU,5
GB,2,,5
HR-21,5,HR-21,5
GB-BST,6,GB-BST,5
GB-HAM,6,GB-HAM,5
AT-9,4,AT-9,5
CZ-PR,5,CZ-PR,5
MB,2,,5
DE-MV,5,DE-MV,5
NL-OV,5,NL-OV,5
TAS,3,AU-TAS,5
GB-KEN,6,GB-KEN,5
SH,2,,5
AF,2,,5
Not provided in source,22,,5
FR-NOR,6,FR-NOR,5
UNKNOWN,7,,5
BRE,3,BRE,5
BR,2,,5
TR-34,5,TR-34,5
AR-S,4,AR-S,5
RWA,3,,5
ES-CB,5,ES-CB,5
ID-SS,5,ID-SS,5
RN,2,,5
ES-V,4,ES-V,5
ESP,3,,5
FR-GES,6,FR-GES,5
ID-BT,5,ID-BT,5
FR-CVL,6,FR-CVL,5
BY,2,,4
ISL,3,ISL,4
UT,2,,4
IC,2,,4
ID-KR,5,ID-KR,4
IT-72,5,IT-72,4
POL,3,POL,4
BGD,3,BGD,4
PE,2,,4
IT-62,5,IT-62,4
NL-UT,5,NL-UT,4
ES-AR,5,ES-AR,4
FR-HDF,6,FR-HDF,4
AR-R,4,AR-R,4
CE,2,,4
US-WY,5,US-WY,4
ES-NC,5,ES-NC,4
FR-E,4,FR-E,4
TWN,3,,4
FR-75,5,FR-75,4
ES-IB,5,ES-IB,4
JP-28,5,JP-28,4
IN,2,,4
NA,2,,4
ID-KS,5,ID-KS,4
CAM,3,CAM,4
NL-GE,5,NL-GE,4
AE-AZ,5,AE-AZ,4
CZ,2,,4
AUT,3,AUT,4
SAU,3,SAU,4
NT,2,,4
MA,2,,4
FI,2,,4
IL,2,,4
EL,2,,4
