nom de plateforme,ok,Région,grappe,type,collab,url,Lien,image,nb_datasets,techno,dev,Couverture,Porteur,porteur_type,porteur_statut,porteur_siren,theme
Ain,checked,Auvergne-Rhône-Alpes,,Géoportail,Dédié,http://departement-ain.opendata.arcgis.com,http://departement-ain.opendata.arcgis.com,ain.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/Hps-eXeygESz8cOvNasKBA/padePyAQOaR53MkazyUfxyHVa7mtvuXwuU2PSwcIbmhysNqrFDj9_7kw5qg930KTtjCwPH-mcaljOzX4JOXlqcVoMpydF-5IJ7zhx0JF8C80S8cgjSyg2fAdgKks5dVSe6e0TAWA4QH3HfeeyrjyUw/zVQNAgcLtZZDKEjC2WfYRkbLf3JQrKCyvwvvu72S7zw),49,ArcGIS,esri,Départementale,https://annuaire-entreprises.data.gouv.fr/entreprise/220100010,Collectivité locale,DEP,220100010,Généraliste
Clermont Métropole,checked,Auvergne-Rhône-Alpes,,Géoportail,Dédié,https://opendata.clermontmetropole.eu/,https://opendata.clermontmetropole.eu/,clermont.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/iG0J1PhH28ahP4Dm1fOIdA/5fjZa5AxQRjB5M0mVVBwyWWQShhdWC7ueRUHj_kjuuvK40EtvMfXAvX9VWIM_yCzP3qQlr2LFlKBkznUwP8I_hvakvV-KCwRgkAUfHHXfJgAs1MgyyE9x97xnf4a6mly8avsuNsOlzhOeyw3H2FmsAchlOlJuKHROeD8bH0x4Po/Dsf7R6sRt1EPUgD4WD7-vDVoJ7lErk-ulPjlCaLvqvQ),44,ArcGIS,esri,Métropolitaine,https://annuaire-entreprises.data.gouv.fr/entreprise/246300701,Collectivité locale,MET,246300701,Généraliste
DatARA,checked,Auvergne-Rhône-Alpes,,Géoportail,Partenarial,https://www.datara.gouv.fr,https://www.datara.gouv.fr,download.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/HvYxqrSyTTkJvORwBMhT7g/BqOuLUsKSLyB15DECpj6pLP5AeT8iO3m1tH7FKEtvXqNdkiW0UzzfjjlUlIiElzl9ncE3fprEoD_vlHXy6znYMliRB9YrjlJeK5blRD6_QRQWTOasVk6Lp6HencqMlY5YIfRtbN4TdObLmOlIBxVJw/rOytfHSL7avinXsWnsDfD0k246paKblOS0yG2P_Ro-o),9846,GeoNetwork,alkante,Régionale,https://annuaire-entreprises.data.gouv.fr/entreprise/176900009,Autre acteur territorial,SDE,176900009,Généraliste
Evian,checked,Auvergne-Rhône-Alpes,,Géoportail,Dédié,https://ville-d-evian-opendata-ville-evian.hub.arcgis.com,https://ville-d-evian-opendata-ville-evian.hub.arcgis.com,evian.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/ZR3YAFOkmAzBWUB2FQmiOg/rZOqajBW1ZzBPhPgTjmwseG6lBrj7pEJrVyPhIIE0F9i4uPp93yaZwgPpVAkdgoVjWCA0JsnCJvJAxU99ZXXpt2lRIoZAHsMOGygfhGiSld5LFuCuroRfykWOJspbtuubO0nP8fe62CJJ4SsUQ_jDA/8g-eoSub-OPXO0ZF3avziL81wEtHhtDQClVjH-_UQU8),2,ArcGIS,esri,Communale,https://annuaire-entreprises.data.gouv.fr/entreprise/217401199,Collectivité locale,COM,217401199,Généraliste
Grand Chambéry,checked,Auvergne-Rhône-Alpes,,Portail,Partagé,https://donnees.grandchambery.fr,https://donnees.grandchambery.fr,chambery.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/MFSS-l7EQxCAVrucrqYvCg/K0j3WdAL3os3LsLIXkRDxUi3NMRXp4tqEW9h1k4aBW9R2TN3V9mOI5Y8Fu2WkoQAhutBNcfSISotx_iIfIj_m6MbGBQdNcB_2ETuaWeqXOuFt-B8hmcjYxIHB5RtiE7pIY0RmMwRuLkJwONyXQoLIZkG5X2FN-T33kCx-hL7xWg/LlyyqrAmATctqsP-yNwCxapUUVC2Q6Qllk8ciCKxos4),66,OpenDataSoft,ods,Intercommunale,https://annuaire-entreprises.data.gouv.fr/entreprise/200069110,Collectivité locale,CA,200069110,Généraliste
Grenoble Métropole,checked,Auvergne-Rhône-Alpes,,Portail,Partagé,http://data.metropolegrenoble.fr,http://data.metropolegrenoble.fr,open data grenoble.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/aWl3RDiYGvBULRMfI2UXMw/anzJTmIfcNztOSp3f0EVbTgvsmjvg4G6lNPywyA2fWU9mlBSDyAgfzY-vCDRpxuIJgxeURgNO8ebQw53ZbwStVIkqDAReLOs2OrMN3GA5O5jWLGmErq3R4bpmpytVdaX15ar-82iD731drZyxOEEVg/ObNt9Us7f1pyvK3UZFQM2RuwgFB4IsjEsm5MJOZjzHY),209,CKAN,bpm conseil,Métropolitaine,https://annuaire-entreprises.data.gouv.fr/entreprise/200040715,Collectivité locale,MET,200040715,Généraliste
Isère,checked,Auvergne-Rhône-Alpes,,Portail,Dédié,https://opendata.isere.fr,https://opendata.isere.fr,téléchargement.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/0Ang4_Q31s-ojXy8OtyzOw/09_dkNfN_aUk0nw-3Fh060Pu5eNM_2TpLsP8wubhWTMjQuqx5JFkZcxMPkRAfVztyJaliDExOfp1kAMMcv1ManqI0NwBmXYPKXBXUXrke1OzZMQG7iqEgj0uVV5NlDNWqGd-oONGig9-wxwpM9zTCA/lnQLOtrYXbpp9JeUXjFNBTt-DS4YcTUj2ij4IpSnlqU),75,OpenDataSoft,ods,Départementale,https://annuaire-entreprises.data.gouv.fr/entreprise/223800012,Collectivité locale,DEP,223800012,Généraliste
Métropole de Lyon,checked,Auvergne-Rhône-Alpes,,Géoportail,Mutualisé,https://data.grandlyon.com,https://data.grandlyon.com,grand lyon.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/X17UeT6WzO0Ld4k3fIyIDA/eY7aia3B_glTuvGRaLz2M2dWAvwPcTZ7kS5Cby-122Sot_XfVDCuCxJbbKq07t92B9Sh07hRGsNh1vQ6Q4jEDZSFPOugDhGZ9Uw0jQnC_gCAE9edFd6cl1Tb3a2x3rT71ZC_40pj_EISaQsD1VpmNlaYIPCcFsLZAX-r3i7zJP0/C14SYoF7YEP0Kk2FZ6DefpjUUqBHYQowkc1eY8GsofQ),531,Onegeo Suite,neogeo,Métropolitaine,https://annuaire-entreprises.data.gouv.fr/entreprise/200046977,Collectivité locale,MET,200046977,Généraliste
Puy-de-Dôme,checked,Auvergne-Rhône-Alpes,,Site web,Dédié,http://www.puy-de-dome.fr/open-data.html,http://www.puy-de-dome.fr/open-data.html,puy de dome.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/uCokus3BWMP4wr0B2rIweA/no20taMkr1GO1S9M4oe5tveglOI8itrF4yxaYjjPKDpL1L8SORqNHfzzu4-rtgj4iNNABN24RIZdAgqQpq6gl4yONlKnFW9VPPhuXA_9S8M5EcnTlCrOEsZIvl7nRTJibq1m5QOakKjW3kBO27JeKg9XCypGETdlIr-MMAAsgNg/2iyu8T3MmJcyalKRvTtq1LnMv1AKq8JV6oLW4R7Q-i8),24,Typo3,archriss,Départementale,https://annuaire-entreprises.data.gouv.fr/entreprise/226300010,Collectivité locale,DEP,226300010,Généraliste
Puy-en-Velay,checked,Auvergne-Rhône-Alpes,,Géoportail,Partagé,https://geoportail.lepuyenvelay.fr,https://geoportail.lepuyenvelay.fr,puy en velay.png (https://v5.airtableusercontent.com/v3/u/47/47/1763366400000/2rqL1-YHfI_y9CBeleTP_Q/vxFApsPOXePerJHeHM-xV-7QtPUghhSU6iy2pB6YfABPH18Y3qFRhumL7EmE-lntiLN43odZjouVazDbdYXzt3ruh9WW066knaRjPQ2mGZIIsYOdQTFhSAG6QYta6ZMH95ktu_A2QOL3b2vbC9QPWOkQkN7ngDK4s1v-gO_iBSQ/CSdraUjDzDUs7WRJ0zpXqY0roGndMSPSJIc6BKLqvNA),103,GeoNetwork,interne,Intercommunale,https://annuaire-entreprises.data.gouv.fr/entreprise/200073419,Collectivité locale,CA,200073419,Généraliste
