country_code,country_name,catalog_name,catalog_id,catalog_type,owner_type,is_federal_path,link,file_path,priority
World,World,World Bank Microdata Library,microdataworldbankorg,Microdata catalog,International,No,https://microdata.worldbank.org,data/entities/World/microdata/microdataworldbankorg.yaml,HIGH
World,World,Food and Agriculture Microdata Catalogue,microdatafaoorg,Microdata catalog,International,No,https://microdata.fao.org,data/entities/World/microdata/microdatafaoorg.yaml,HIGH
World,World,ILO Survey Library (Data Catalog),wwwiloorg,Microdata catalog,International,No,https://www.ilo.org/surveyLib/index.php/catalog,data/entities/World/microdata/wwwiloorg.yaml,HIGH
World,World,UNHCR Microdata Library,microdataunhcrorg,Microdata catalog,International,No,https://microdata.unhcr.org,data/entities/World/microdata/microdataunhcrorg.yaml,HIGH
World,World,INDEPTH Data repository,wwwindepthishareorg,Microdata catalog,Civil society,No,https://www.indepth-ishare.org,data/entities/World/microdata/wwwindepthishareorg.yaml,HIGH
World,World,Central Data Catalog,catalogihsnorg,Microdata catalog,Civil society,No,https://catalog.ihsn.org,data/entities/World/microdata/catalogihsnorg.yaml,HIGH
World,World,WHO Health Information Systems Data Catalog,appswhoint,Microdata catalog,International,No,https://apps.who.int/healthinfo/systems/surveydata/index.php/catalog,data/entities/World/microdata/appswhoint.yaml,HIGH
World,World,UNData,dataunorg,Indicators catalog,International,No,https://data.un.org,data/entities/World/indicators/dataunorg.yaml,HIGH
World,World,UN Population Division Data Portal,populationunorg,Indicators catalog,International,No,https://population.un.org/dataportal,data/entities/World/indicators/populationunorg.yaml,HIGH
World,World,Migration data portal,wwwmigrationdataportalorg,Indicators catalog,International,No,https://www.migrationdataportal.org,data/entities/World/indicators/wwwmigrationdataportalorg.yaml,HIGH
World,World,World Bank Gender Data Portal,genderdataworldbankorg,Indicators catalog,International,No,https://genderdata.worldbank.org,data/entities/World/indicators/genderdataworldbankorg.yaml,HIGH
World,World,The GFF Data Portal,datagffportalorg,Indicators catalog,International,No,https://data.gffportal.org,data/entities/World/indicators/datagffportalorg.yaml,HIGH
World,World,OIC Statistics Database (OICStat),wwwsesricorg,Indicators catalog,International,No,https://www.sesric.org/oicstat.php,data/entities/World/indicators/wwwsesricorg.yaml,HIGH
World,World,SDG Gateway Asia Pacific,dataexplorerunescaporg,Indicators catalog,International,No,https://dataexplorer.unescap.org,data/entities/World/indicators/dataexplorerunescaporg.yaml,HIGH
World,World,OECD Data Explorer,dataexploreroecdorg,Indicators catalog,International,No,https://data-explorer.oecd.org,data/entities/World/indicators/dataexploreroecdorg.yaml,HIGH
