# Prompts for fixing all data quality issues
# Copy and paste these prompts into Cursor chat when working on each file
# Format: Record ID | File Path | Issue Count | Prompt

sigcatastrobogotagovco | CO/CO-DC/geo/sigcatastrobogotagovco.yaml | 7 issues | Fix all data quality issues for sigcatastrobogotagovco. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_OWNER_LINK, and 4 more
betackanorg | World/Federal/opendata/betackanorg.yaml | 7 issues | Fix all data quality issues for betackanorg. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 4 more
dipgcimgarcgiscom | World/Federal/geo/dipgcimgarcgiscom.yaml | 7 issues | Fix all data quality issues for dipgcimgarcgiscom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 4 more
1312617120 | World/Federal/geo/1312617120.yaml | 7 issues | Fix all data quality issues for 1312617120. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 4 more
demogvsigonlinecom | World/Federal/geo/demogvsigonlinecom.yaml | 7 issues | Fix all data quality issues for demogvsigonlinecom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 4 more
wwwdatagovso | SO/Federal/opendata/wwwdatagovso.yaml | 7 issues | Fix all data quality issues for wwwdatagovso. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 4 more
maps1webserver2croppermapcom | GB/Federal/geo/maps1webserver2croppermapcom.yaml | 7 issues | Fix all data quality issues for maps1webserver2croppermapcom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 4 more
wwwebusinessservicede | DE/geo/wwwebusinessservicede.yaml | 7 issues | Fix all data quality issues for wwwebusinessservicede. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_OWNER_LINK, and 4 more
dideafricaimgarcgiscom | US/US-CA/geo/dideafricaimgarcgiscom.yaml | 6 issues | Fix all data quality issues for dideafricaimgarcgiscom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
services8arcgiscom | US/US-CA/geo/services8arcgiscom.yaml | 6 issues | Fix all data quality issues for services8arcgiscom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
servicesarcgiscom | US/US-CA/geo/servicesarcgiscom.yaml | 6 issues | Fix all data quality issues for servicesarcgiscom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
insightsservices8arcgiscom | US/US-CA/geo/insightsservices8arcgiscom.yaml | 6 issues | Fix all data quality issues for insightsservices8arcgiscom. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 3 more
mapservices2jeffcous | US/US-CO/geo/mapservices2jeffcous.yaml | 6 issues | Fix all data quality issues for mapservices2jeffcous. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 3 more
tilesarcgiscom | World/Federal/geo/tilesarcgiscom.yaml | 6 issues | Fix all data quality issues for tilesarcgiscom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 3 more
overlordpgcumnedu | US/Federal/geo/overlordpgcumnedu.yaml | 6 issues | Fix all data quality issues for overlordpgcumnedu. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
giswilcoorg | US/Federal/geo/giswilcoorg.yaml | 6 issues | Fix all data quality issues for giswilcoorg. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 3 more
geovbgovcom | US/Federal/geo/geovbgovcom.yaml | 6 issues | Fix all data quality issues for geovbgovcom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
geocodearcgiscom | US/Federal/geo/geocodearcgiscom.yaml | 6 issues | Fix all data quality issues for geocodearcgiscom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
insightsservicesarcgiscom | US/Federal/geo/insightsservicesarcgiscom.yaml | 6 issues | Fix all data quality issues for insightsservicesarcgiscom. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 3 more
bonnevilleesriemcscom | US/Federal/geo/bonnevilleesriemcscom.yaml | 6 issues | Fix all data quality issues for bonnevilleesriemcscom. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 3 more
metadatadcjmbe | BE/BE-BRU/geo/metadatadcjmbe.yaml | 6 issues | Fix all data quality issues for metadatadcjmbe. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_OWNER_LINK, and 3 more
insitudatahubdraxisgr | GR/Federal/opendata/insitudatahubdraxisgr.yaml | 6 issues | Fix all data quality issues for insitudatahubdraxisgr. Issues: MISSING_TOPICS, MISSING_OWNER_LINK, MISSING_IDENTIFIERS, and 3 more
gsdlorgin | IN/IN-DL/geo/bhubaneswaronein.yaml | 6 issues | Fix all data quality issues for gsdlorgin. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 3 more
geoportallbsemidenet | LB/Federal/geo/geoportallbsemidenet.yaml | 6 issues | Fix all data quality issues for geoportallbsemidenet. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
opendataunibasit | IT/Federal/opendata/opendataunibasit.yaml | 6 issues | Fix all data quality issues for opendataunibasit. Issues: MISSING_TOPICS, MISSING_IDENTIFIERS, MISSING_LICENSE, and 3 more
mozdatamicrodatahubcom | World/Federal/microdata/mozdatamicrodatahubcom.yaml | 6 issues | Fix all data quality issues for mozdatamicrodatahubcom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
datakimetricacom | World/Federal/opendata/datakimetricacom.yaml | 6 issues | Fix all data quality issues for datakimetricacom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
africaopendataorg | World/Federal/opendata/africaopendataorg.yaml | 6 issues | Fix all data quality issues for africaopendataorg. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
demodatashadescom | World/Federal/opendata/demodatashadescom.yaml | 6 issues | Fix all data quality issues for demodatashadescom. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 3 more
datadisldev | World/Federal/opendata/datadisldev.yaml | 6 issues | Fix all data quality issues for datadisldev. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
ckaniotlabcom | World/Federal/opendata/ckaniotlabcom.yaml | 6 issues | Fix all data quality issues for ckaniotlabcom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
dataspacemobi | World/Federal/opendata/dataspacemobi.yaml | 6 issues | Fix all data quality issues for dataspacemobi. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
losddatastagingderilinxcom | World/Federal/opendata/losddatastagingderilinxcom.yaml | 6 issues | Fix all data quality issues for losddatastagingderilinxcom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
ckanopengovernmentdataorg | World/Federal/opendata/ckanopengovernmentdataorg.yaml | 6 issues | Fix all data quality issues for ckanopengovernmentdataorg. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
192146242180 | World/Federal/geo/192146242180.yaml | 6 issues | Fix all data quality issues for 192146242180. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
geonetworkothudatagrandlyoncom | FR/Federal/geo/geonetworkothudatagrandlyoncom.yaml | 6 issues | Fix all data quality issues for geonetworkothudatagrandlyoncom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
tiledimageservices2arcgiscom | World/Federal/geo/tiledimageservices2arcgiscom.yaml | 6 issues | Fix all data quality issues for tiledimageservices2arcgiscom. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_OWNER_LINK, and 3 more
tiledimageservicesarcgiscom | World/Federal/geo/tiledimageservicesarcgiscom.yaml | 6 issues | Fix all data quality issues for tiledimageservicesarcgiscom. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 3 more
sigpoblagvsigonlinecom | World/Federal/geo/sigpoblagvsigonlinecom.yaml | 6 issues | Fix all data quality issues for sigpoblagvsigonlinecom. Issues: MISSING_TOPICS, MISSING_LANGS, MISSING_IDENTIFIERS, and 3 more
wwwlandmarkgeospatialcom | World/Federal/geo/wwwlandmarkgeospatialcom.yaml | 6 issues | Fix all data quality issues for wwwlandmarkgeospatialcom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
tiledimageserviceseu1arcgiscom | World/Federal/geo/tiledimageserviceseu1arcgiscom.yaml | 6 issues | Fix all data quality issues for tiledimageserviceseu1arcgiscom. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
maps2cattcoorg | World/Federal/geo/maps2cattcoorg.yaml | 6 issues | Fix all data quality issues for maps2cattcoorg. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_LANGS, and 3 more
3dwebgisdiuminhopt | PT/Federal/geo/3dwebgisdiuminhopt.yaml | 6 issues | Fix all data quality issues for 3dwebgisdiuminhopt. Issues: MISSING_TOPICS, MISSING_IDENTIFIERS, MISSING_LICENSE, and 3 more
mgismpsjgovmy | MY/MY-10/geo/mgismpsjgovmy.yaml | 6 issues | Fix all data quality issues for mgismpsjgovmy. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
geotanamandoagovmy | MY/Federal/geo/geotanamandoagovmy.yaml | 6 issues | Fix all data quality issues for geotanamandoagovmy. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
redvialneuquengovar | AR/AR-Q/geo/redvialneuquengovar.yaml | 6 issues | Fix all data quality issues for redvialneuquengovar. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
geoserversanbenitogobar | AR/AR-R/geo/geoserversanbenitogobar.yaml | 6 issues | Fix all data quality issues for geoserversanbenitogobar. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_DESCRIPTION, and 3 more
devmetasharemapsvicgovau | AU/AU-VIC/geo/devmetasharemapsvicgovau.yaml | 6 issues | Fix all data quality issues for devmetasharemapsvicgovau. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 3 more
gistirolgvat | AT/AT-7/geo/gistirolgvat.yaml | 6 issues | Fix all data quality issues for gistirolgvat. Issues: MISSING_TOPICS, MISSING_TAGS, MISSING_IDENTIFIERS, and 3 more
