id	link	name	owner_name	owner_link	catalog_type	owner_type	software	langs	content_types	access_mode	countries	tags	status	api	catalog_export	api_status
uaestatfcscgovae	https://uaestat.fcsc.gov.ae	UAEStat	Federal Competitiveness And Statistics Centre	https://www.fcsc.gov.ae	Indicators catalog	Central government	.Stat Suite	EN	indicator	open	United Arab Emirates	statistics,government	active			uncertain
databayanatae	https://data.bayanat.ae	UAE Open Data Portal	Government of UAE	https://www.bayanet.ae	Open data portal	Central government	CKAN	EN	dataset	open	United Arab Emirates	government,has_api	active	TRUE		active
digital-earth-africa	https://explorer.digitalearth.africa/stac/	Digital Earth Africa	Geoscience Australia	https://www.ga.gov.au	Geoportal	Central government	Stac-server	EN	dataset,map_layer	public	Africa	geospatial,has_api	active	TRUE		uncertain
aphrcorg	https://aphrc.org/microdataportal	APHRC Online Microdata Library	African Population & Health Research Center	https://aphrc.org	Microdata catalog	Civil society	NADA	EN	microdata	open,limited	Africa	government,has_api,microdata	active	TRUE		uncertain
microdatacatalogafdborg	https://microdata-catalog.afdb.org	African Microdata Library	African Development bank	https://www.afdb.org	Microdata catalog	International	NADA	FR	microdata	open,limited	Africa	government,has_api,microdata	active	TRUE		uncertain
ckanafricadatahuborg	https://ckan.africadatahub.org	ADH Data Portal	Open Cities Labs	https://www.opencitieslab.org	Open data portal	Community	CKAN	EN	dataset	open	Africa	has_api	active	TRUE		active
openafricanet	https://openafrica.net	Africa's Largest Volunteer Driven Open Data Platform	Code for Africa	https://medium.com/code-for-africa	Open data portal	Civil society	CKAN	EN	dataset	open	Africa	has_api	active	TRUE		active
geoportalasiggoval	https://geoportal.asig.gov.al/geonetwork	ASIG Geoportal metadata catalogue	State Authority for Geospatial Information (ASIG) Albania	https://www.asig.gov.al	Geoportal	Central government	Geonetwork	SQ	dataset,map_layer	open	Albania	geospatial,government,has_api	active	TRUE		uncertain
databazainstatgoval	http://databaza.instat.gov.al	INSTAT Statistical database	Institute of Statistics Albania	http://www.instat.gov.al	Indicators catalog	Central government	PxWeb	EN	indicator	open	Albania	statistics,government	active			active
ckantiranaal	https://ckan.tirana.al	Open Data Tirana	The Municipality of Tirana	https://www.tirana.al	Open data portal	Local government	CKAN	SQ	dataset	open	Albania	government,has_api	active	TRUE		active
opendatagoval	https://opendata.gov.al	Open Data Alabania	Albania government	https://www.gov.al	Open data portal	Central government	Custom software	SQ	dataset	open	Albania	government	active			uncertain
armsiscasam	https://armsis.cas.am	The Armenian Soil Information System (ArmSIS)	Armenian National Agrarian University	https://www.cas.am	Geoportal	Academy	GeoNode	EN	dataset,map_layer	open	Armenia	geospatial	active			uncertain
ogcensam	http://og.cens.am:8081/geoserver	Center for Ecological-Noosphere Studies National Academy of Sciences geoserver	Center for Ecological-Noosphere Studies National Academy of Sciences, RA	https://cens.am	Geoportal	Academy	GeoServer	EN	dataset,map_layer	public	Armenia	geospatial,government	active			uncertain
vgsegeologyam	https://vgse.geology.am	Institute of Geological sciences (Armenia) geoportal	Institute of Geological sciences (Armenia)	https://www.geology.am	Geoportal	Academy	GeoNode	EN	dataset,map_layer	open	Armenia	geospatial	active			uncertain
sdgarmstatam	https://sdg.armstat.am	Armenian SDG data portal	ArmStat	https://www.armstat.am	Indicators catalog	Central government	OpenSDG	EN	indicator	open	Armenia	statistics,government	active			uncertain
statbankarmstatam	https://statbank.armstat.am	ArmStat Statbank	ArmStat	https://www.armstat.am	Indicators catalog	Central government	PxWeb	EN	indicator	open	Armenia	statistics,government	active			uncertain
microdataarmstatam	https://microdata.armstat.am	ArmStat Microdata Library	ArmStat	https://www.armstat.am	Microdata catalog	Central government	NADA	EN	microdata	open,limited	Armenia	government,has_api,microdata	active	TRUE		active
andineinegovao	https://andine.ine.gov.ao/nada/index.php	National Data Archive Angola Microdata catalog	National Institute of Statistics (Angola)	https://www.ine.gov.ao	Microdata catalog	Central government	NADA	EN	dataset	open,limited	Angola	government,has_api,microdata	active	TRUE		active
geoadminagroindustriagobar	https://geoadmin.agroindustria.gob.ar/geonetwork	VISOR IDE AGROINDUSTRIA	Ministerio de Economia Argentina	https://www.argentina.gob.ar/economia	Geoportal	Central government	Geonetwork	EN	dataset,map_layer	open	Argentina	geospatial,government,has_api	active	TRUE		uncertain
ide-facultad-de-ciencia-y-tecnologia-uader	https://raw.githubusercontent.com/IDE-FCyT/IDE-FCyT/main/catalog/stac_catalog.json	IDE Facultad de Ciencia y Tecnología UADER	Facultad de Ciencia y Tecnología UADER	http://fcyt.uader.edu.ar/web/	Geoportal	Academy	Stac-server	EN	dataset,map_layer	public	Argentina	geospatial,has_api	active	TRUE		uncertain
databuenosairesgobar	https://data.buenosaires.gob.ar	Buenos Aires Data	City of Buenos Aires	https://buenosaires.gob.ar	Open data portal	Local government	CKAN	ES	dataset	open	Argentina	government,has_api	active	TRUE		active
datasetsdatosmincytgobar	https://datasets.datos.mincyt.gob.ar	Datos de la Ciencia y la Tecnologia Argentina	Ministerio de Ciencia, Tecnología e Innovación	https://mincyt.gob.ar	Open data portal	Central government	CKAN	ES	dataset	open	Argentina	government,has_api	active	TRUE		active
datosabiertosmendozagovar	https://datosabiertos.mendoza.gov.ar	Datos Abiertos Mendoza	Mendoza Gobierno	https://www.mendoza.gov.ar	Open data portal	Regional government	CKAN	ES	dataset	open	Argentina	government,has_api	active	TRUE		active
datosabiertosmercedesgobar	http://datosabiertos.mercedes.gob.ar	Datos Abiertos Mercedes	Municipio de Mercedes	http://www.mercedes.gob.ar	Open data portal	Local government	CKAN	ES	dataset	open	Argentina	government,has_api	active	TRUE		active
datosabiertosrosariogobar	https://datosabiertos.rosario.gob.ar	Municipalidad de Rosario datos abiertos	Municipalidad de Rosario	http://www.rosario.gob.ar	Open data portal	Local government	DKAN	ES	dataset	open	Argentina	government	active			uncertain
datosambientegobar	https://datos.ambiente.gob.ar	Datos Abiertos de Ambiente y Desarrollo Sostenible	Ministerio de Ambiente y Desarrollo Sostenible	https://ambiente.gob.ar	Open data portal	Central government	CKAN	ES	dataset	open	Argentina	government,has_api	active	TRUE		active
