id,uid,link,software_idstatus
climateriskmapenvironmentgovag,temp00000004,https://climateriskmap.environment.gov.ag/geoserver/web/,geoserver,undetected
geonodedatagovag,temp00000005,http://geonode.data.gov.ag,geonode,undetected
catalogogeointaintagobar,temp00000009,http://catalogo.geointa.inta.gob.ar/geonetwork/srv/rus/catalog.search,geonetwork,undetected
dipecjujuygobar,temp00000010,http://dipec.jujuy.gob.ar,geonode,undetected
geoexpressdemokancomar,temp00000012,https://geoexpress-demo.kan.com.ar/catalogue/#/,geonode,undetected
datarandwicknswgovau,temp00000056,https://data.randwick.nsw.gov.au,opendatasoft,undetected
envgiseeagovernmentbg,temp00000075,https://envgis.eea.government.bg:6443/arcgis/rest/services,arcgisserver,undetected
gissofiyskavodabg,temp00000078,https://gis.sofiyskavoda.bg:6443/arcgis/rest/services,arcgisserver,undetected
idelapazbo,temp00000085,http://ide.lapaz.bo/,geonode,undetected
inderhsnirhgovbr,temp00000090,https://inderh.snirh.gov.br,geonode,undetected
metadadoszeebagovbr,temp00000091,http://metadados.zee.ba.gov.br/geonetwork/srv/en/main.home,geonetwork,undetected
cataloguemrngouvqcca,temp00000101,http://catalogue.mrn.gouv.qc.ca/geonetwork/srv/en/home,geonetwork,undetected
geoigbberlinde,temp00000198,https://geo.igb-berlin.de/,geonode,undetected
geoportalcatastrogobdo,temp00000217,https://geoportal.catastro.gob.do/geoserver/web/,geoserver,undetected
movimientosenmasadmqgeoenergiagobec,temp00000221,https://movimientosenmasadmq.geoenergia.gob.ec,geonode,undetected
gobiernoabiertoquitogobec,temp00000224,https://gobiernoabierto.quito.gob.ec/catalogo-datos-abiertos/,ckan,undetected
governobertgencatcat,temp00000245,https://governobert.gencat.cat,socrata,undetected
kindrakindraprojecteu,temp00000264,http://kindra.kindraproject.eu/geonetwork/srv/eng/main.home,geonetwork,undetected
servicesmspdataeu,temp00000269,https://services.mspdata.eu/geonetwork/srv/fre/catalog.search#/home,geonetwork,undetected
cigalsacefr,temp00000292,https://cigalsace.fr/geonetwork/srv/eng/catalog.search#/home,geonetwork,undetected
geocataloguelorientagglobzh,temp00000304,https://geocatalogue.lorient-agglo.bzh,opendatasoft,undetected
bankstatgl,temp00000325,https://bank.stat.gl/pxweb/en/,pxweb,undetected
datamalevizigovgr,temp00000329,http://data.malevizi.gov.gr/,ckan,undetected
wwwgeoportalmarngobgt,temp00000333,https://www.geoportal.marn.gob.gt:8080/geoserver/web/,geoserver,undetected
icssrdataservicein,temp00000366,http://icssrdataservice.in/datarepository/index.php/catalog,nada,undetected
cataloggeourbait,temp00000370,https://catalog.geourba.it/,geonode,undetected
datiregioneumbriait,temp00000372,http://dati.regione.umbria.it/,arcgishub,undetected
opendataarpaumbriait,temp00000379,https://opendata.arpa.umbria.it/,arcgishub,undetected
solvecorilait,temp00000380,http://solve.corila.it,geonode,undetected
ckanodpjigjp,temp00000397,https://ckan.odp.jig.jp/,ckan,undetected
senaopendatajp,temp00000399,https://sena-opendata.jp/,ckan,undetected
wwwgeospatialjp,temp00000400,https://www.geospatial.jp/ckan/dataset?q=,ckan,undetected
geoxdworldkr,temp00000410,https://geo.xdworld.kr/web/,geoserver,undetected
wwwsdatadamcokr,temp00000414,https://www.sdatadam.co.kr/geoserver/web/,geoserver,undetected
